"","Protection","Base","Cap","Fusion","GP1/Core","GP1/Head","HR2","Neut_VSV","unNeutFrac","Neut_micro","Neut_dVP30","GP_EC50","sGP_EC50","human","mouse","IgG2a","IgG2b","HumanIgG1","MouseIgG1","BDBV & SUDV","BDBV only","BDBV, SUDV, RESTV ","Marburg only","None","RESTV only","SUDV & RESTV","SUDV only","Polyfunctionality","huADCP","mADCP","CD107a","IFNg","MIP.1b","huADNP","mADNP","sGP_huADCP","sGP_huADNP","Total_G0","Total_G1","Total_G2","Total_Fucose","Total_Bisecting","Total_SA","G0","G0F","G0FB","G1","G1.","G1F","G1F.","G1S1F","G1FB","G2F","G2FB","G2S1","G2S1F","G2S1B","G2S1FB","sGP.binderTRUE"
"Total_Fucose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,-0.454683565285831,NA,NA,NA,NA,NA,NA,NA,-0.626721357525117,NA,-0.725841560028908,NA,NA
"Total_Bisecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.562200987819126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.568868641579251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.576794573250987,0.743696217784508,NA
"Total_SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.494154563110711,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.812269070231133,NA,NA,NA
"G0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.588587757172152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G0F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.501821862348178,-0.50437540340064,-0.518218623481781,NA,NA,NA,NA,0.697165991902834,-0.630971659919028,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,-0.559311740890688,-0.471445968194841,NA,-0.794939271255061,NA,NA,NA,NA,NA,NA
"G0FB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.568868641579251,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.454683565285831,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54276167621335,0.513091922663609,NA
"G1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.479268592941461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,-0.570560853970595,NA,NA,NA,NA,NA,0.522982689731171,NA,NA,NA
"G1F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.687316533534441,0.70644802467406,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.532341332821447,NA,NA,0.541147892234922,NA,NA,NA,NA,NA,NA
"G1F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.492105263157895,NA,NA,NA,NA,-0.847570850202429,0.909514170040486,NA,NA,NA,NA,NA,-0.559311740890688,NA,NA,-0.570560853970595,0.532341332821447,1,NA,NA,0.673481781376518,NA,NA,NA,NA,NA,NA
"G1S1F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.530629534573363,0.530629534573363,NA,NA,-0.530629534573363,0.461877291161583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.471445968194841,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"G1FB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49272742496098,-0.49272742496098,NA,NA,0.49272742496098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"G2F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.485468949343301,0.516396761133603,NA,NA,NA,NA,-0.807894736842105,0.709311740890688,0.627732793522267,NA,NA,NA,NA,-0.794939271255061,NA,NA,NA,0.541147892234922,0.673481781376518,NA,NA,1,NA,NA,NA,NA,NA,NA
"G2FB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"G2S1",NA,NA,0.540403462581302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.626721357525117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"G2S1F",NA,NA,-0.454203228015485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.493369776796299,-0.467456222660096,NA,NA,NA,NA,NA,NA,NA,NA,0.812269070231133,NA,NA,NA,NA,0.522982689731171,NA,NA,NA,NA,NA,NA,NA,1,NA,-0.534504599173557,NA
"G2S1B",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.480338745481438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.725841560028908,0.576794573250987,NA,NA,NA,NA,0.54276167621335,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"G2S1FB",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.51311094404852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.743696217784508,NA,NA,NA,NA,0.513091922663609,NA,NA,NA,NA,NA,NA,NA,NA,-0.534504599173557,NA,1,NA
"sGP.binderTRUE",NA,-0.543660282219562,0.505181485540923,NA,0.505181485540923,NA,NA,-0.639809913291595,NA,NA,NA,NA,-0.940169631036929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.513187871916882,0.457007080922568,0.530128213870179,NA,NA,NA,0.639809913291595,0.630669771673144,0.767771895949915,0.8363229580883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
